StepCounter, Dynamics, ConfDynamics, NConDynamics,  Zeros,  Ones, ConfZeros, NConfZeros, ConfOnes, NConfOnes, RealRatioA, RealRatioB, Stress, ConfStress, NConStress, frameRate, NofClusters, MnClustersSize, MaxClustersSize, MinClustersSize, MnClustersDiam, MaxClustersDiam, MinClustersDiam, MnClustersBRat, MaxClustersBRat, MinClustersBRat, RatioA, RatioB, Noise, MaxStrengh, Distribution, Bias, N, Repetition, from, Walk1D
0,0,0,0,5625,0,5105,520,0,0,0,0.092444444,0,0,0,9.811313,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,0,100, 0.0++0.05=0.501(1)
100,8.89E-04,0,0.009615385,5105,520,5100,5,5,515,0,0.092444444,0.16684444,0.0918952,0.9026442,99.52719,74,71.28378378,5104,2,1.875340164,52.3259,1,0.990759765,1,0.31622258,0,0.1,0,100,0,0,75,0,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5060,565,0,0,0,0.100444444,0,0,0,90.26734,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,1,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001769912,5059,566,5057,2,3,563,0,0.100444444,0.1784,0.09920949,0.8876106,99.88646,91,57.95604396,5058,2,1.799042545,52.3259,1,0.992693546,1,0.3351127,0,0.1,0,100,0,0,75,1,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5082,543,0,0,0,0.096533333,0,0,0,91.2395,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,2,100, 0.0++0.05=0.501(1)
100,0,0,0,5082,543,5081,1,1,542,0,0.096533333,0.17608888,0.09745179,0.9120626,99.93399,76,69.17105263,5082,2,1.895396484,52.3259,1,0.991279853,1,0.3372688,0,0.1,0,100,0,0,75,2,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5072,553,0,0,0,0.098311111,0,0,0,90.44303,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,3,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003616637,5073,552,5065,8,7,545,0,0.098311111,0.17644444,0.09754535,0.9000904,99.15694,74,71.08108108,5071,2,2.006653359,52.3259,1,0.991027411,1,0.3360284,0,0.1,0,100,0,0,75,3,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5054,571,0,0,0,0.101511111,0,0,0,90.153366,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,4,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001751314,5054,571,5054,0,0,571,0,0.101511111,0.18017778,0.10026711,0.8874781,101.364876,79,66.37974684,5054,2,1.917427893,52.3259,1,0.99163465,1,0.33913732,0,0.1,0,100,0,0,75,4,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5050,575,0,0,0,0.102222222,0,0,0,91.39101,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,5,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001739131,5050,575,5050,0,0,575,0,0.102222222,0.18266666,0.10173267,0.8934783,100.174225,87,60.43678161,5050,2,1.810819524,52.3259,1,0.992486628,1,0.34633663,0,0.1,0,100,0,0,75,5,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5054,571,0,0,0,0.101511111,0,0,0,90.37022,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,6,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.00525394,5056,569,5053,3,1,568,0,0.101511111,0.18471111,0.10256727,0.91177756,100.49995,76,68.78947368,5056,2,1.856733492,52.3259,1,0.991531687,1,0.35640824,0,0.1,0,100,0,0,75,6,100, 0.0++0.05=0.501(1)
