StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3166	 2459	 2993	 173	 2326	 133	 0.49066666	 0.49027073	 0.49754903	 9.628635	 372	 14.258064516129032	 1738	 2	 3.8014692100145484	 52.3259	 1.0	 0.9803919071151365	 1.0	 0.75	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
1	 0.25795555	 0.24196278	 0.53594774	 3527	 2098	 3398	 129	 1921	 177	 0.33688888	 0.32402706	 0.5604575	 9.046096	 148	 36.310810810810814	 3414	 2	 4.4754660161765845	 52.3259	 1.0	 0.929922500574911	 1.0	 0.5531915	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
2	 0.13777778	 0.12389547	 0.37908497	 3762	 1863	 3673	 89	 1646	 217	 0.26151112	 0.23716864	 0.6846405	 8.717495	 93	 58.27956989247312	 3676	 2	 5.323307424463252	 52.3259	 1.0	 0.8835426661916959	 1.0	 0.4923077	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
3	 0.08302222	 0.070877984	 0.29411766	 3893	 1732	 3820	 73	 1499	 233	 0.22408889	 0.19486746	 0.73202616	 8.475084	 72	 75.73611111111111	 3834	 2	 5.998973076542218	 52.3259	 1.0	 0.8512759274906583	 1.0	 0.42383933	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
4	 0.057777777	 0.05038541	 0.18627451	 3982	 1643	 3920	 62	 1399	 244	 0.19928889	 0.1676772	 0.7487745	 8.499726	 54	 101.07407407407408	 3935	 2	 7.151966841132553	 52.3259	 1.0	 0.8079693725815525	 1.0	 0.37534943	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
5	 0.04871111	 0.037977062	 0.23529412	 4028	 1597	 3966	 62	 1353	 244	 0.18408889	 0.15092123	 0.7606209	 8.577878	 49	 111.85714285714286	 3992	 2	 7.375779040005742	 52.3259	 1.0	 0.7954564666261479	 1.0	 0.34519038	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
6	 0.04088889	 0.029140815	 0.24509804	 4094	 1531	 4025	 69	 1294	 237	 0.17608888	 0.14217898	 0.7655229	 8.391633	 45	 121.55555555555556	 4060	 2	 7.5529414388868545	 52.3259	 1.0	 0.7764804899692536	 1.0	 0.32931036	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
7	 0.03928889	 0.030080842	 0.19934641	 4145	 1480	 4079	 66	 1240	 240	 0.16844444	 0.13346024	 0.77655226	 8.2423935	 40	 136.75	 4115	 2	 7.944176411628723	 52.3259	 1.0	 0.7702232159674167	 1.0	 0.31324422	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
8	 0.03128889	 0.021244595	 0.20588236	 4173	 1452	 4106	 67	 1213	 239	 0.1639111	 0.1284076	 0.78104573	 8.416194	 39	 140.2051282051282	 4144	 2	 7.955926815668742	 52.3259	 1.0	 0.7644759569412622	 1.0	 0.30333012	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
9	 0.02951111	 0.021056589	 0.1764706	 4213	 1412	 4142	 71	 1177	 235	 0.1592	 0.12264994	 0.79452616	 8.301029	 37	 147.59459459459458	 4186	 2	 7.991607543584463	 52.3259	 1.0	 0.7681588135861062	 1.0	 0.29311994	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
