StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
0	 0.0	 0.0	 0.0	 3054	 2571	 477	 2577	 387	 2184	 0.49137777	 0.48712385	 0.49214977	 9.653224	 389	 13.539845758354756	 547	 2	 4.247659016084548	 52.3259	 1.0	 0.974094930988351	 1.0	 0.6923077	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
1	 0.49475557	 0.36921296	 0.5175383	 2835	 2790	 458	 2377	 406	 2384	 0.5576	 0.4903067	 0.569812	 9.110452	 528	 10.070075757575758	 210	 2	 4.019996098496697	 29.832869	 1.0	 0.9911170221413627	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
2	 0.43893334	 0.3101852	 0.46229783	 2808	 2817	 434	 2374	 430	 2387	 0.5703111	 0.49537036	 0.58391094	 8.869318	 556	 9.609712230215827	 159	 2	 3.909458793324532	 26.683329	 1.0	 0.9946780517804537	 1.0	 0.8125	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
3	 0.43093333	 0.3472222	 0.44612476	 2818	 2807	 438	 2380	 426	 2381	 0.57413334	 0.4982639	 0.5879017	 8.719896	 581	 9.206540447504302	 125	 2	 3.8305891668119445	 27.202942	 1.0	 0.9945467350404973	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
4	 0.41866666	 0.33333334	 0.43415248	 2825	 2800	 436	 2389	 428	 2372	 0.5751111	 0.50188076	 0.58840054	 8.791076	 547	 9.844606946983546	 111	 2	 4.155479798151327	 22.472204	 1.0	 0.9954213799680609	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
5	 0.41955554	 0.3298611	 0.4358328	 2825	 2800	 459	 2366	 405	 2395	 0.57706666	 0.50130206	 0.590816	 8.907122	 533	 10.093808630393996	 196	 2	 4.171990158410278	 32.202484	 1.0	 0.994907329051177	 1.0	 0.8235294	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
6	 0.41955554	 0.3599537	 0.43037176	 2841	 2784	 444	 2397	 420	 2364	 0.5735111	 0.4988426	 0.5870615	 9.018156	 578	 9.318339100346021	 134	 2	 3.842110959510077	 29.068884	 1.0	 0.9946449766109559	 1.0	 0.7777778	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
7	 0.4256	 0.3113426	 0.4463348	 2841	 2784	 457	 2384	 407	 2377	 0.57582223	 0.5017361	 0.58926696	 8.719788	 557	 9.691202872531418	 198	 2	 3.8933469581432787	 43.046486	 1.0	 0.9959592007006949	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
8	 0.41173333	 0.3576389	 0.4215501	 2809	 2816	 446	 2363	 418	 2398	 0.57724446	 0.5026042	 0.59078974	 8.84724	 560	 9.589285714285714	 227	 2	 4.012900208149637	 45.276924	 1.0	 0.9944892999316964	 1.0	 0.8181818	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
9	 0.408	 0.3275463	 0.4226003	 2812	 2813	 427	 2385	 437	 2376	 0.5728	 0.49016204	 0.5877967	 8.8256855	 548	 9.802919708029197	 139	 2	 4.065814486385262	 29.068884	 1.0	 0.9936711446647226	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
